,target,doc
0,1,Bug:
1,0,<!--
2,1,  Please provide a clear and concise description of what the bug is. Include
3,1,  screenshots if needed. Please test using the latest version of the relevant
4,1,  React packages to make sure your issue has not already been fixed.
5,0,-->
6,,
7,1,React version:
8,,
9,1,## Steps To Reproduce
10,,
11,0,1.
12,0,2.
13,,
14,0,<!--
15,1,  Your bug will get fixed much faster if we can run your code and it doesn't
16,1,  have dependencies other than React. Issues without reproduction steps or
17,1,  code examples may be immediately closed as not actionable.
18,0,-->
19,,
20,1,Link to code example:
21,,
22,0,<!--
23,1,"  Please provide a CodeSandbox (https://codesandbox.io/s/new), a link to a"
24,1,"  repository on GitHub, or provide a minimal code example that reproduces the"
25,1,  problem. You may provide a screenshot of the application if you think it is
26,1,  relevant to your bug report. Here are some tips for providing a minimal
27,1,  example: https://stackoverflow.com/help/mcve.
28,0,-->
29,,
30,1,## The current behavior
31,,
32,,
33,1,## The expected behavior
