,target,doc
0,1,configure_item() to open and close collapsing_header doesn't work after the user interacts with the header.
1,1,## Version of Dear PyGui
2,,
3,1,Version: 0.6.294
4,1,Operating System: WIndows 10
5,,
6,1,## My Issue/Question
7,,
8,0,"`configure_item(""A collapsing header name"", default_open=True or False)` works until the user opens or closes the header. "
9,,
10,1,## To Reproduce
11,,
12,1,Run the example script.
13,,
14,1,## Expected behavior
15,,
16,1,"The header should close if it is open, or open if it is closed."
17,,
18,1,## Video
19,,
20,,
21,0,https://user-images.githubusercontent.com/62894667/113026011-384b7500-91a6-11eb-8809-ff72ba84e088.mp4
22,,
23,,
24,,
25,1,## Example
26,,
27,0,```python
28,0,from dearpygui.core import *
29,0,from dearpygui.simple import *
30,,
31,0,def open_close():
32,0,"    if get_value(""New header""):"
33,0,"        configure_item(""New header"", default_open=False)"
34,0,    else:
35,0,"        configure_item(""New header"", default_open=True)"
36,,
37,0,"with window(""Main Window""):"
38,0,"    add_button(""open close"", callback=open_close)"
39,0,"    with collapsing_header(name=""New header"", default_open=True):"
40,0,"        add_text(""Example text"")"
41,,
42,0,start_dearpygui()
43,,
44,0,```
