,target,doc
0,1,Test failure in task_table_tests.
1,1,I just saw this in https://s3.amazonaws.com/archive.travis-ci.org/jobs/270295916/log.txt?X-Amz-Expires=29&X-Amz-Date=20170831T075450Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAJRYRXRSVGNKPKO5A/20170831/us-east-1/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=1405cb0133660201ea72897a3c47f28b6ed75ed91dc9c2ea0be5fbf57dd6ae32
2,,
3,1,This was probably introduced in #894.
4,,
5,0,```
6,0,* Suite task_table_tests:
7,,
8,0,.[WARN] (/Users/travis/build/ray-project/ray/src/common/state/redis.cc:886) No subscribers received the task_table_add message.
9,,
10,0,[FATAL] (/Users/travis/build/ray-project/ray/src/common/test/task_table_tests.cc:73: errno: Operation now in progress) Check failure: 0
11,0,
12,0,
13,0,
14,0,0   task_table_tests                    0x000000010ec7c300 _Z24add_lookup_fail_callback8UniqueIDPvS0_ + 112
15,0,
16,0,1   task_table_tests                    0x000000010ec88087 _Z34redis_task_table_add_task_callbackP17redisAsyncContextPvS1_ + 311
17,0,
18,0,2   task_table_tests                    0x000000010ec9450d redisProcessCallbacks + 861
19,0,
20,0,3   task_table_tests                    0x000000010ec8d299 aeProcessEvents + 649
21,0,
22,0,4   task_table_tests                    0x000000010ec8d5bb aeMain + 43
23,0,
24,0,5   task_table_tests                    0x000000010ec7d356 _Z16task_table_testsv + 1270
25,0,
26,0,6   task_table_tests                    0x000000010ec7e2d4 main + 788
27,0,
28,0,7   libdyld.dylib                       0x00007fff8b4605ad start + 1
29,0,
30,0,../../../src/common/test/run_tests.sh: line 21: 10089 Abort trap: 6           ./src/common/task_table_tests
31,0,
32,0,
33,0,
34,0,"travis_time:end:0612a802:start=1504163949691525000,finish=1504163952129718000,duration=2438193000"
35,0,[0K
36,0,
37,0,"[31;1mThe command ""bash ../../../src/common/test/run_tests.sh"" failed and exited with 134 during .[0m"
38,0,
39,0,
40,0,
41,0,Your build has been stopped.
42,0,```
43,,
44,1,cc @stephanie-wang
