,target,doc
0,1,copied keybinding with single quote should be escaped
1,1,when copying a keybinding like `emmet:remove-tag` (which is binded by default to `cmd-'`) using the copy button in keybindings the `'` should be escaped in order not to break the CSON format.
2,,
3,1,**Expected behavior:** [What you expect to happen]
4,,
5,1,copied string is:
6,,
7,0,```
8,0,'.platform-darwin atom-text-editor:not([mini])':
9,0,  'cmd-\'': 'emmet:remove-tag'
10,0,```
11,,
12,1,**Actual behavior:** [What actually happens]
13,,
14,1,copied string is:
15,,
16,0,```
17,0,'.platform-darwin atom-text-editor:not([mini])':
18,0,  'cmd-'': 'emmet:remove-tag'
19,0,```
20,,
21,1,### Versions
22,,
23,0,Atom    : 1.34.0
24,0,Electron: 2.0.16
25,0,Chrome  : 61.0.3163.100
26,0,Node    : 8.9.3
